subject_ID,fit,task,human,human_draws,n_games,optimal_full,optimal_full_draws,optimal_full_correct,optimal_full_missed,gap_full
18,short,SB-XT-RPh----,1.175,4.0625,80,1.275,3.9375,0.8125,0.025,0.09999999999999987
18,long,LBE-T-RPhCL--,1.2,6.05,80,1.6625,9.2125,0.9125,0.0125,0.46250000000000013
18,combined,C-EXT-RPHC-UK,1.1875,5.05625,160,1.46875,6.54375,0.8625,0.01875,0.28125
8,short,SB-XT-RPh----,1.025,4.3125,80,1.175,3.9625,0.7875,0.025,0.15000000000000013
8,long,LBE-T-RPhCL--,1.1,8.55,80,1.6625,9.2,0.9125,0.0125,0.5625
8,combined,C-EXT-RPHC-UK,1.0625,6.43125,160,1.41875,6.53125,0.85,0.01875,0.35624999999999996
32,short,SB-XT-RPh----,1.0875,3.5375,80,1.225,4.0,0.8,0.025,0.13750000000000018
32,long,LBE-T-RPhCL--,1.15,5.825,80,1.6625,9.2375,0.9125,0.0125,0.5125000000000002
32,combined,C-EXT-RPHC-UK,1.11875,4.68125,160,1.44375,6.51875,0.85625,0.01875,0.3250000000000002
68,short,SB-XT-RPh----,0.9125,4.2,80,1.325,3.9625,0.825,0.025,0.4125
68,long,LBE-T-RPhCL--,1.0625,6.6375,80,1.6625,9.0625,0.9125,0.0125,0.6000000000000001
68,combined,C-EXT-RPHC-UK,0.9875,5.41875,160,1.49375,6.5125,0.86875,0.01875,0.5062499999999999
70,short,SB-XT-RPh----,0.8875,4.3,80,1.275,3.9875,0.8125,0.025,0.38749999999999996
70,long,LBE-T-RPhCL--,1.2,6.9875,80,1.6625,9.2625,0.9125,0.0125,0.46250000000000013
70,combined,C-EXT-RPHC-UK,1.04375,5.64375,160,1.46875,6.58125,0.8625,0.01875,0.42500000000000004
44,short,SB-XT-RPh----,0.825,3.725,80,1.125,3.9625,0.775,0.025,0.30000000000000004
44,long,LBE-T-RPhCL--,0.7125,7.2,80,1.6125,9.125,0.9,0.0125,0.9
44,combined,C-EXT-RPHC-UK,0.76875,5.4625,160,1.36875,6.56875,0.8375,0.01875,0.5999999999999999
14,short,SB-XT-RPh----,0.975,4.1125,80,1.325,3.9875,0.825,0.025,0.35
14,long,LBE-T-RPhCL--,0.975,8.3875,80,1.6625,9.0875,0.9125,0.0125,0.6875000000000001
14,combined,C-EXT-RPHC-UK,0.975,6.25,160,1.49375,6.51875,0.86875,0.01875,0.5187499999999999
78,short,SB-XT-RPh----,1.0,4.55,80,1.225,3.8875,0.8,0.025,0.2250000000000001
78,long,LBE-T-RPhCL--,0.925,9.375,80,1.6625,9.1875,0.9125,0.0125,0.7375
78,combined,C-EXT-RPHC-UK,0.9625,6.9625,160,1.44375,6.58125,0.85625,0.01875,0.48125000000000007
84,short,SB-XT-RPh----,0.7875,3.8375,80,1.125,3.925,0.775,0.025,0.3375
84,long,LBE-T-RPhCL--,1.0625,7.6375,80,1.6625,9.1375,0.9125,0.0125,0.6000000000000001
84,combined,C-EXT-RPHC-UK,0.925,5.7375,160,1.39375,6.54375,0.84375,0.01875,0.46875
55,short,SB-XT-RPh----,0.6875,3.7125,80,1.025,3.9625,0.75,0.025,0.3374999999999999
55,long,LBE-T-RPhCL--,1.0625,4.25,80,1.6125,8.975,0.9,0.0125,0.55
55,combined,C-EXT-RPHC-UK,0.875,3.98125,160,1.31875,6.4375,0.825,0.01875,0.4437500000000001
34,short,SB-XT-RPh----,1.45,3.7375,80,1.175,3.9625,0.7875,0.025,-0.2749999999999999
34,long,LBE-T-RPhCL--,1.2625,7.6625,80,1.6125,9.1,0.9,0.0125,0.3500000000000001
